"ID","Area","Route or file","Role","Severity","Confidence","Finding","Evidence","User impact","Business impact","Security impact","Recommended action","Effort","Priority","Status"
"SEC-001","Tenant isolation","app/api/attendance/route.ts; prisma/policies/rls.sql","Teacher/Admin","P0 Critical","High","Attendance API accepts unvalidated student IDs and can create possible cross-tenant data contamination if a foreign student ID is supplied.","API creates attendance records from submitted studentId values; RLS checks session institution but not student institution.","False attendance and possible wrong-student records.","Blocks paid launch for multi-tenant SaaS trust.","Possible cross-tenant data contamination.","Validate each student belongs to institution, class, and active academic scope; add DB/RLS consistency tests.","M","P0","Implemented; DB RLS verification pending"
"SEC-002","Permissions","app/(app)/attendance/[classId]/page.tsx; app/api/attendance/route.ts","Teacher","P1 High","High","Teacher class scope is enforced on attendance list but not on attendance detail/API.","List page uses getTeacherClassIds; detail page fetches any class by id and institution; API lacks assigned-class check.","Teacher can alter another class attendance by deep link or direct POST.","Breaks role promise and school trust.","Broken object-level authorisation inside tenant.","Apply shared teacher class authz helper to page and API.","S","P1","Implemented; live role verification pending"
"PAY-001","Payments","app/p/[token]/page.tsx; app/parent/page.tsx; landing components","Parent","P1 High","High","Parent Razorpay payment is not usable while public copy claims UPI/Razorpay fee collection.","Parent pages say online payment is coming soon; landing/pricing claim payment support.","Parents cannot pay as promised.","Conversion and trust risk.","None direct, but payment trust risk.","Complete parent payment or remove claims until complete.","M","P1","Open"
"PAY-002","Payments","app/api/razorpay/webhook/route.ts","External webhook","P1 High","High","Razorpay webhook lacks stored order, amount, currency, and invoice reconciliation.","Webhook verifies signature but trusts payment notes/invoice ID and amount.","Incorrect invoice/payment state possible.","Financial disputes and reconciliation failure.","Webhook manipulation/replay edge risk.","Persist orders and reconcile order_id, amount, currency, invoice, institution, status, and event id.","M","P1","Open"
"PAY-003","Payments","app/api/fees/invoices/[id]/payments/route.ts","Owner/Admin/Accountant","P1 High","High","Manual payments lack idempotency and concurrency protection.","Route checks remaining balance then creates payment without lock/idempotency key.","Duplicate submit can overpay invoice.","Financial corruption and support burden.","Integrity risk.","Add idempotency keys and transaction/locking pattern; test concurrent submissions.","M","P1","Open"
"PAY-004","Payments","app/api/fees/invoices/[id]/receipt/route.ts","Owner/Admin/Accountant","P1 High","Medium","Receipt generation mutates state on GET.","GET can assign receipt number through admin update.","Unexpected state changes and race-prone receipt numbers.","Accounting/audit trust risk.","Integrity/audit risk.","Assign receipt numbers in explicit transaction or idempotent POST/payment finalisation.","S","P1","Open"
"PUSH-001","Push","app/api/push/send/route.ts","Anonymous/Server","P1 High","High","Push send endpoint can fail open if PUSH_SEND_TOKEN is unset.","Token check only runs when env var exists; no userId targets all subscriptions.","Users can receive arbitrary notifications in misconfigured production.","Severe trust and support risk.","Unauthenticated push abuse.","Require token/auth unconditionally and fail closed; tenant-scope sends.","S","P1","Implemented; provider verification pending"
"MSG-001","Communications","lib/messaging/provider.ts; app/api/communications/send/route.ts","Owner/Admin/Teacher","P1 High","High","Communications use ConsoleProvider and may mark messages sent without real delivery.","Console provider logs message and returns success.","Staff think parents received messages when they did not.","Core fee/admissions follow-up fails.","PII in logs.","Separate queued/sent/delivered/failed; require real provider for production.","M","P1","Open"
"AUTH-001","Authentication","app/api/staff/direct/route.ts","Owner/Admin","P1 High","High","Direct staff creation shares plaintext generated passwords.","Password generated with Math.random and returned/shared via WhatsApp.","Credentials can leak through chat/screenshots/logs.","Security trust blocker.","Weak credential handling.","Use invite/reset/OTP; crypto random if temporary; force reset; never expose reusable passwords.","M","P1","Implemented; live invitation verification pending"
"FILE-001","Files","app/api/homework/upload/route.ts","Teacher/Admin","P1 High","High","Homework uploads use public URLs and weak content validation.","Service-role upload accepts MIME/type and returns public URL.","Unsafe files or child data may become public.","Privacy and trust risk.","Public file exposure risk.","Use private bucket/signed URLs, role/class checks, content validation, audit logs.","M","P1","Implemented; storage-policy verification pending"
